tahun,kabupaten/kota,kecamatan,jenis_pelayanan,jumlah
2020,Jakarta Selatan,TEBET,Perkawinan,0
2020,Jakarta Selatan,SETIA BUDI,Perkawinan,0
2020,Jakarta Selatan,MAMPANG PRAPATAN,Perkawinan,0
2020,Jakarta Selatan,PASAR MINGGU,Perkawinan,0
2020,Jakarta Selatan,KEBAYORAN LAMA,Perkawinan,0
2020,Jakarta Selatan,CILANDAK,Perkawinan,0
2020,Jakarta Selatan,KEBAYORAN BARU,Perkawinan,0
2020,Jakarta Selatan,PANCORAN,Perkawinan,0
2020,Jakarta Selatan,JAGAKARSA,Perkawinan,0
2020,Jakarta Selatan,PESANGGRAHAN,Perkawinan,0
2020,Jakarta Timur,MATRAMAN,Perkawinan,0
2020,Jakarta Timur,PULO GADUNG,Perkawinan,0
2020,Jakarta Timur,JATINEGARA,Perkawinan,0
2020,Jakarta Timur,KRAMAT JATI,Perkawinan,0
2020,Jakarta Timur,PASAR REBO,Perkawinan,0
2020,Jakarta Timur,CAKUNG,Perkawinan,0
2020,Jakarta Timur,DUREN SAWIT,Perkawinan,0
2020,Jakarta Timur,MAKASAR,Perkawinan,0
2020,Jakarta Timur,CIRACAS,Perkawinan,0
2020,Jakarta Timur,CIPAYUNG,Perkawinan,0
2020,Jakarta Pusat,GAMBIR,Perkawinan,0
2020,Jakarta Pusat,SAWAH BESAR,Perkawinan,0
2020,Jakarta Pusat,KEMAYORAN,Perkawinan,0
2020,Jakarta Pusat,SENEN,Perkawinan,0
2020,Jakarta Pusat,CEMPAKA PUTIH,Perkawinan,0
2020,Jakarta Pusat,MENTENG,Perkawinan,0
2020,Jakarta Pusat,TANAH ABANG,Perkawinan,0
2020,Jakarta Pusat,JOHAR BARU,Perkawinan,0
2020,Jakarta Barat,CENGKARENG,Perkawinan,0
2020,Jakarta Barat,GROGOL PETAMBURAN,Perkawinan,0
2020,Jakarta Barat,TAMAN SARI,Perkawinan,0
2020,Jakarta Barat,TAMBORA,Perkawinan,0
2020,Jakarta Barat,KEBON JERUK,Perkawinan,0
2020,Jakarta Barat,KALI DERES,Perkawinan,0
2020,Jakarta Barat,PALMERAH,Perkawinan,0
2020,Jakarta Barat,KEMBANGAN,Perkawinan,0
2020,Jakarta Utara,PENJARINGAN,Perkawinan,0
2020,Jakarta Utara,TANJUNG PRIOK,Perkawinan,0
2020,Jakarta Utara,KOJA,Perkawinan,0
2020,Jakarta Utara,CILINCING,Perkawinan,0
2020,Jakarta Utara,PADEMANGAN,Perkawinan,0
2020,Jakarta Utara,KELAPA GADING,Perkawinan,0
2020,Kepulauan Seribu,KEP. SERIBU UTR,Perceraian,0
2020,Kepulauan Seribu,KEP. SERIBU SLT,Perceraian,0
2020,Jakarta Selatan,TEBET,Perceraian,0
2020,Jakarta Selatan,SETIA BUDI,Perceraian,0
2020,Jakarta Selatan,MAMPANG PRAPATAN,Perceraian,0
2020,Jakarta Selatan,PASAR MINGGU,Perceraian,0
2020,Jakarta Selatan,KEBAYORAN LAMA,Perceraian,0
2020,Jakarta Selatan,CILANDAK,Perceraian,0
2020,Jakarta Selatan,KEBAYORAN BARU,Perceraian,0
2020,Jakarta Selatan,PANCORAN,Perceraian,0
2020,Jakarta Selatan,JAGAKARSA,Perceraian,0
2020,Jakarta Selatan,PESANGGRAHAN,Perceraian,0
2020,Jakarta Timur,MATRAMAN,Perceraian,0
2020,Jakarta Timur,PULO GADUNG,Perceraian,0
2020,Jakarta Timur,JATINEGARA,Perceraian,0
2020,Jakarta Timur,KRAMAT JATI,Perceraian,0
2020,Jakarta Timur,PASAR REBO,Perceraian,0
